rank,artist,track,preview_url,artwork_url
1,Les Paul & Mary Ford,How High the Moon,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music1/v4/ce/e4/05/cee405f9-7eb0-eebc-1a7c-45951e95d08f/mzaf_4259712477814541606.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music1/v4/e1/c6/56/e1c6566c-d70f-389a-1df4-619ebb9f1ef2/source/100x100bb.jpg
2,Bo Diddley,Road Runner,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music7/v4/13/24/16/13241657-523d-9fc6-849e-2a5630598e2a/mzaf_2508046349833866384.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music69/v4/cf/30/3a/cf303a22-8bbe-b46d-2fec-7ac68da716c4/source/100x100bb.jpg
3,Duane Eddy,(Dance With the) Guitar Man,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview128/v4/da/c6/0c/dac60c8e-90ec-4dfc-cb23-b7f53c5df779/mzaf_8982173897879369326.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/3b/ef/97/3bef97d3-0b63-e473-fe31-7164a37dde8d/source/100x100bb.jpg
4,B.B. King,The Thrill Is Gone,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music7/v4/5b/df/1e/5bdf1ea6-3bf0-ba9a-b222-1d7c597dbf6b/mzaf_6941751609840106649.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music7/v4/6a/d8/d6/6ad8d629-b9bf-4edc-c46b-5f99544c0259/source/100x100bb.jpg
5,Chuck Berry,Maybellene,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview71/v4/89/36/a3/8936a35a-3713-394b-b25d-632ce849f184/mzaf_3399596285626330643.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music19/v4/26/e3/ea/26e3ea2c-c0dd-cac9-4640-eda2397c6a80/source/100x100bb.jpg
6,John Lee Hooker,Boom Boom,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview128/v4/b4/fe/e7/b4fee701-8f64-df79-a2fa-a3cf1837da7c/mzaf_6158638737013336429.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/c9/63/a6/c963a69c-72b6-af47-8e2f-af151e751a67/source/100x100bb.jpg
7,Muddy Waters,I Can't Be Satisfied,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/aa/a8/68/mzm.jeaouyns.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music/v4/4e/95/02/4e9502ac-a895-ed02-c26a-c3a24c27bf56/source/100x100bb.jpg
8,Al Kooper & Mike Bloomfield,Really,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/Music/88/5f/55/mzm.spkizubs.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/v4/2e/31/a8/2e31a89d-5ce5-aeff-ffcb-2bc8a2e611cf/source/100x100bb.jpg
9,Jerry Garcia,Sugaree,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview30/v4/08/b1/f2/08b1f2c7-6522-da4a-8956-7e7f0e2dcc30/mzaf_5307239512016883934.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music30/v4/8e/4b/15/8e4b1576-95d3-eafe-bd81-f91ff117660f/source/100x100bb.jpg
10,Peter Green,A Fool No More,https://audio-ssl.itunes.apple.com/apple-assets-us-std-000001/AudioPreview62/v4/ff/ae/1d/ffae1de1-aa1a-7448-09e3-3ab227395975/mzaf_2376867622162705842.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music62/v4/69/8d/1e/698d1e24-c20f-c001-5254-91beed468340/source/100x100bb.jpg
